"";"number_of_input_reads";"average_input_read_length";"uniquely_mapped_reads_number";"uniquely_mapped_reads_percent";"average_mapped_length";"number_of_splices_total";"number_of_splices_annotated_sjdb";"number_of_splices_gt_ag";"number_of_splices_gc_ag";"number_of_splices_at_ac";"number_of_splices_non_canonical";"mismatch_rate_per_base_percent";"deletion_rate_per_base";"deletion_average_length";"insertion_rate_per_base";"insertion_average_length";"number_of_reads_mapped_to_multiple_loci";"percent_of_reads_mapped_to_multiple_loci";"number_of_reads_mapped_to_too_many_loci";"percent_of_reads_mapped_to_too_many_loci";"number_of_reads_unmapped_too_many_mismatches";"percent_of_reads_unmapped_too_many_mismatches";"number_of_reads_unmapped_too_short";"percent_of_reads_unmapped_too_short";"number_of_reads_unmapped_other";"percent_of_reads_unmapped_other";"muestras";"Especie";"temp";"Cultivar";"Project";"Esp_prj"
"136";3898572;50;3346614;85,84;49,36;385057;385049;381156;3590;311;0;0,88;0,04;2,08;0,02;1,63;354817;9,1;1548;0,04;0;0;195017;5;576;0,01;"SRR11711681";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"137";3892984;50;3341177;85,83;49,35;384627;384622;380582;3733;312;0;0,88;0,04;2,08;0,02;1,63;354352;9,1;1467;0,04;0;0;195347;5,02;641;0,02;"SRR11711682";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"138";3910726;50;3356670;85,83;49,36;388606;388596;384307;3981;318;0;0,87;0,04;2,09;0,02;1,63;356155;9,11;1504;0,04;0;0;195829;5,01;568;0,01;"SRR11711683";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"139";3831839;50;2794438;72,93;49,1;208659;208647;206398;2190;71;0;1,21;0,02;1,91;0,01;1,59;844559;22,04;951;0,02;0;0;191449;5;442;0,01;"SRR11711684";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"140";3912464;50;3358758;85,85;49,36;387738;387721;383698;3721;319;0;0,87;0,04;2,08;0,02;1,62;356435;9,11;1648;0,04;0;0;194890;4,98;733;0,02;"SRR11711685";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"141";28013;50;24082;85,97;49,34;2739;2739;2715;24;0;0;0,89;0,04;2,07;0,02;1,55;2414;8,62;10;0,04;0;0;1504;5,37;3;0,01;"SRR11711686";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"142";3879317;50;3335378;85,98;49,36;382821;382808;379161;3380;280;0;0,87;0,04;2,13;0,02;1,63;347139;8,95;1310;0,03;0;0;194824;5,02;666;0,02;"SRR11711687";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"143";3901918;50;3352040;85,91;49,37;385301;385294;381445;3538;318;0;0,86;0,04;2,12;0,02;1,64;352533;9,03;1277;0,03;0;0;195385;5,01;683;0,02;"SRR11711688";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"144";3893662;50;3344907;85,91;49,37;385263;385250;381322;3624;317;0;0,87;0,04;2,13;0,02;1,64;351101;9,02;1336;0,03;0;0;195671;5,03;647;0,02;"SRR11711689";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"145";3885754;50;3336819;85,87;49,36;383777;383760;379854;3600;323;0;0,88;0,04;2,11;0,02;1,62;350728;9,03;1318;0,03;0;0;196234;5,05;655;0,02;"SRR11711690";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"146";3886130;50;3339166;85,93;49,36;384017;384009;380212;3493;312;0;0,88;0,04;2,11;0,02;1,62;349083;8,98;1267;0,03;0;0;195860;5,04;754;0,02;"SRR11711691";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"147";3903641;50;3353758;85,91;49,37;386372;386348;382208;3801;363;0;0,87;0,04;2,12;0,02;1,64;352241;9,02;1305;0,03;0;0;195662;5,01;675;0,02;"SRR11711692";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"148";3906045;50;3357916;85,97;49,37;386593;386572;382656;3582;355;0;0,87;0,04;2,12;0,02;1,63;350962;8,99;1338;0,03;0;0;195002;4,99;827;0,02;"SRR11711693";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"149";3827895;50;2790068;72,89;49,1;208527;208520;206185;2202;140;0;1,21;0,02;1,93;0,01;1,58;843975;22,05;988;0,03;0;0;192188;5,02;676;0,02;"SRR11711695";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"150";3827361;50;2784079;72,74;49,1;208220;208213;205978;2096;146;0;1,2;0,02;1,95;0,01;1,6;849277;22,19;1004;0,03;0;0;192366;5,03;635;0,02;"SRR11711706";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"151";3836664;50;2796859;72,9;49,1;209666;209644;207453;2153;60;0;1,21;0,02;1,92;0,01;1,58;846377;22,06;1116;0,03;0;0;191901;5;411;0,01;"SRR11711717";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"152";573985;49;479026;83,46;49,33;54285;54285;53770;503;12;0;0,94;0,03;1,98;0,02;1,6;69754;12,15;222;0,04;0;0;24870;4,33;113;0,02;"SRR11711728";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"153";3883936;49;3238734;83,39;49,34;368935;368933;365203;3461;271;0;0,92;0,03;1,96;0,02;1,58;478811;12,33;1513;0,04;0;0;163873;4,22;1005;0,03;"SRR11711739";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"154";3866558;49;3224005;83,38;49,33;368444;368424;364491;3691;262;0;0,93;0,03;1,95;0,02;1,58;475170;12,29;1552;0,04;0;0;164927;4,27;904;0,02;"SRR11711760";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"155";3876783;49;3231169;83,35;49,34;368796;368772;364565;3996;235;0;0,93;0,03;1,94;0,02;1,57;478861;12,35;1495;0,04;0;0;164263;4,24;995;0,03;"SRR11711771";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"156";668013;49;581394;87,03;49,38;70344;70342;69597;721;26;0;0,88;0,03;2;0,02;1,57;57854;8,66;304;0,05;0;0;28263;4,23;198;0,03;"SRR11711782";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"157";3883540;49;3376771;86,95;49,4;413572;413559;409214;4121;237;0;0,85;0,03;1,99;0,02;1,58;343077;8,83;1597;0,04;0;0;161012;4,15;1083;0,03;"SRR11711793";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"158";3860218;49;3356553;86,95;49,4;410515;410489;406195;4029;291;0;0,86;0,03;1,98;0,02;1,59;339370;8,79;1735;0,04;0;0;161669;4,19;891;0,02;"SRR11711804";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"159";2953783;49;2566390;86,88;49,39;299614;299612;296613;2790;211;0;0,85;0,03;2,04;0,02;1,6;258050;8,74;1627;0,06;0;0;127305;4,31;411;0,01;"SRR11711805";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"160";3859514;49;3353127;86,88;49,4;391351;391328;387551;3529;271;0;0,84;0,03;2,06;0,02;1,59;338736;8,78;2262;0,06;0;0;164911;4,27;478;0,01;"SRR11711806";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"161";3869015;49;3361858;86,89;49,4;392067;392053;388503;3312;252;0;0,84;0,03;2,06;0,02;1,6;339390;8,77;2109;0,05;0;0;165154;4,27;504;0,01;"SRR11711807";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"162";3864274;49;3356617;86,86;49,4;393060;393042;389460;3383;217;0;0,84;0,03;2,05;0,02;1,6;339474;8,78;2147;0,06;0;0;165596;4,29;440;0,01;"SRR11711808";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"163";3840975;49;3334128;86,8;49,39;389146;389144;385454;3424;268;0;0,85;0,03;2,05;0,02;1,59;337476;8,79;2160;0,06;0;0;166721;4,34;490;0,01;"SRR11711809";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"164";3845466;49;3339055;86,83;49,39;390609;390607;386659;3683;267;0;0,85;0,03;2,05;0,02;1,59;337088;8,77;2070;0,05;0;0;166730;4,34;523;0,01;"SRR11711810";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"165";3854479;49;3347508;86,85;49,39;391594;391586;388047;3301;246;0;0,85;0,03;2,04;0,02;1,58;338010;8,77;2100;0,05;0;0;166407;4,32;454;0,01;"SRR11711811";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"166";3870418;49;3362059;86,87;49,4;393968;393959;390125;3597;246;0;0,84;0,03;2,05;0,02;1,6;339942;8,78;2168;0,06;0;0;165783;4,28;466;0,01;"SRR11711812";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"167";853171;49;742744;87,06;49,38;85421;85419;84546;855;20;0;0,86;0,04;2,05;0,02;1,6;72178;8,46;461;0,05;0;0;37668;4,42;120;0,01;"SRR11711813";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"168";3872558;49;3372734;87,09;49,4;391357;391342;387618;3483;256;0;0,84;0,04;2,04;0,02;1,6;331701;8,57;2085;0,05;0;0;165586;4,28;452;0,01;"SRR11711814";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"169";3862011;49;3358512;86,96;49,4;411171;411147;406296;4568;307;0;0,86;0,03;1,98;0,02;1,59;339260;8,78;1586;0,04;0;0;161679;4,19;974;0,03;"SRR11711815";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"170";3851927;49;3355096;87,1;49,39;389747;389732;385923;3528;296;0;0,84;0,03;2,04;0,02;1,6;329170;8,55;2080;0,05;0;0;165149;4,29;432;0,01;"SRR11711816";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"171";3881882;49;3380758;87,09;49,39;393294;393274;389500;3531;263;0;0,84;0,03;2,03;0,02;1,59;333308;8,59;2107;0,05;0;0;165223;4,26;486;0,01;"SRR11711817";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"172";3855832;49;3358809;87,11;49,39;389554;389528;385761;3672;121;0;0,85;0,04;2,03;0,02;1,6;328907;8,53;2104;0,05;0;0;165535;4,29;477;0,01;"SRR11711818";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"173";3850192;49;3352260;87,07;49,39;389084;389072;385440;3355;289;0;0,85;0,03;2,03;0,02;1,6;328666;8,54;2135;0,06;0;0;166665;4,33;466;0,01;"SRR11711819";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"174";3878338;49;3379394;87,14;49,39;392180;392166;388525;3405;250;0;0,85;0,03;2,04;0,02;1,59;330313;8,52;2174;0,06;0;0;165893;4,28;564;0,01;"SRR11711820";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"175";3840423;49;3343537;87,06;49,39;386633;386619;382989;3360;284;0;0,86;0,04;2,04;0,02;1,6;328094;8,54;2095;0,05;0;0;166187;4,33;510;0,01;"SRR11711821";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"176";3850239;49;3352015;87,06;49,39;389447;389432;385947;3268;232;0;0,85;0,04;2,04;0,02;1,6;329469;8,56;2124;0,06;0;0;166188;4,32;443;0,01;"SRR11711822";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"177";3886716;49;3386894;87,14;49,4;393616;393603;389893;3490;233;0;0,84;0,03;2,03;0,02;1,58;332086;8,54;2093;0,05;0;0;165135;4,25;508;0,01;"SRR11711823";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"178";3218118;49;2748038;85,39;49,32;289602;289582;286667;2712;223;0;0,89;0,04;2,07;0,02;1,62;311529;9,68;1266;0,04;0;0;156859;4,87;426;0,01;"SRR11711824";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"179";3871042;49;3306802;85,42;49,32;348818;348798;345526;3141;151;0;0,89;0,04;2,06;0,02;1,62;374139;9,67;1643;0,04;0;0;188052;4,86;406;0,01;"SRR11711825";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"180";3858881;49;3354344;86,93;49,4;410740;410724;406443;4021;276;0;0,86;0,03;2;0,02;1,6;339638;8,8;1676;0,04;0;0;162002;4,2;1221;0,03;"SRR11711826";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"181";3882411;49;3316872;85,43;49,33;350056;350044;346491;3303;262;0;0,88;0,04;2,07;0,02;1,61;375536;9,67;1539;0,04;0;0;187999;4,84;465;0,01;"SRR11711827";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"182";3850418;49;3287664;85,38;49,32;347091;347076;343270;3586;235;0;0,89;0,04;2,07;0,02;1,6;372637;9,68;1607;0,04;0;0;187974;4,88;536;0,01;"SRR11711828";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"183";3863746;49;3298200;85,36;49,32;347699;347685;344104;3332;263;0;0,89;0,04;2,08;0,02;1,61;375368;9,72;1589;0,04;0;0;188139;4,87;450;0,01;"SRR11711833";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"184";3880459;49;3314203;85,41;49,32;350012;350001;346266;3614;132;0;0,89;0,04;2,07;0,02;1,62;375680;9,68;1503;0,04;0;0;188550;4,86;523;0,01;"SRR11711844";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"185";3839996;49;3278984;85,39;49,32;346751;346744;343031;3463;257;0;0,91;0,04;2,06;0,02;1,61;370725;9,65;1475;0,04;0;0;188332;4,9;480;0,01;"SRR11711855";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"186";3856893;49;3292962;85,38;49,32;348046;348008;344451;3314;281;0;0,9;0,04;2,08;0,02;1,6;372930;9,67;1614;0,04;0;0;188864;4,9;523;0,01;"SRR11711866";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"187";3885149;49;3319895;85,45;49,33;350513;350491;347085;3173;255;0;0,89;0,04;2,07;0,02;1,62;376141;9,68;1525;0,04;0;0;187142;4,82;446;0,01;"SRR11711877";"C.canephora";"42_30_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"188";3625754;49;2634414;72,66;49,03;198366;198358;196333;1963;70;0;1,18;0,02;1,94;0,01;1,58;807233;22,26;982;0,03;0;0;182553;5,03;572;0,02;"SRR11711888";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"189";3828244;50;2791000;72,91;49,1;208685;208670;206406;2228;51;0;1,2;0,02;1,95;0,01;1,58;844294;22,05;1026;0,03;0;0;191325;5;599;0,02;"SRR11711899";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"190";2311932;50;1980451;85,66;49,35;228307;228304;225826;2269;212;0;0,88;0,04;2,09;0,02;1,63;211693;9,16;929;0,04;0;0;118407;5,12;452;0,02;"SRR11711907";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"191";3896818;50;3339905;85,71;49,36;387313;387227;383394;3577;342;0;0,87;0,04;2,08;0,02;1,63;357805;9,18;1593;0,04;0;0;196871;5,05;644;0,02;"SRR11711908";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"192";3896511;50;3337761;85,66;49,36;385938;385934;381951;3638;349;0;0,87;0,04;2,09;0,02;1,64;359575;9,23;1624;0,04;0;0;197039;5,06;512;0,01;"SRR11711909";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"193";3828635;50;2785477;72,75;49,1;208319;208311;206099;2077;143;0;1,2;0,02;1,92;0,01;1,58;850128;22,2;1045;0,03;0;0;191533;5;452;0,01;"SRR11711910";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"194";3858297;49;3352916;86,9;49,39;411013;411008;406307;4453;253;0;0,87;0,03;1,99;0,02;1,59;340288;8,82;1694;0,04;0;0;162224;4,2;1175;0,03;"SRR11711911";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"195";3888240;50;3328212;85,6;49,36;384651;384645;380722;3580;349;0;0,87;0,04;2,09;0,02;1,63;360314;9,27;1610;0,04;0;0;197521;5,08;583;0,01;"SRR11711912";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"196";3879078;50;3321061;85,61;49,36;383804;383794;379708;3761;335;0;0,88;0,04;2,1;0,02;1,64;356716;9,2;1566;0,04;0;0;199172;5,13;563;0,01;"SRR11711913";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"197";3894414;49;3336032;85,66;49,35;386571;386557;382393;3853;325;0;0,87;0,04;2,1;0,02;1,64;362327;9,3;1525;0,04;0;0;193946;4,98;584;0,01;"SRR11711914";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"198";3901117;50;3339713;85,61;49,36;387181;387169;382846;4023;312;0;0,87;0,04;2,08;0,02;1,63;360479;9,24;1516;0,04;0;0;198749;5,09;660;0,02;"SRR11711915";"C.canephora";"37_28_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"199";3861403;49;3218234;83,34;49,34;366715;366707;362568;3924;223;0;0,93;0,03;1,96;0,02;1,58;476035;12,33;1531;0,04;0;0;164698;4,27;905;0,02;"SRR11711916";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"200";3862891;49;3221262;83,39;49,34;367089;367082;363036;3814;239;0;0,93;0,03;1,95;0,02;1,59;474786;12,29;1468;0,04;0;0;164249;4,25;1126;0,03;"SRR11711927";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"201";3863050;49;3220406;83,36;49,34;367439;367410;363315;3852;272;0;0,93;0,03;1,94;0,02;1,59;475192;12,3;1575;0,04;0;0;164928;4,27;949;0,02;"SRR11711938";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"202";3863595;49;3219692;83,33;49,33;367182;367167;363071;3869;242;0;0,94;0,03;1,94;0,02;1,59;476855;12,34;1459;0,04;0;0;164836;4,27;753;0,02;"SRR11711949";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"203";3863806;49;3359866;86,96;49,4;411681;411665;407227;4168;286;0;0,86;0,03;1,99;0,02;1,59;340146;8,8;1647;0,04;0;0;161023;4,17;1124;0,03;"SRR11711950";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"204";3872279;49;3367931;86,98;49,4;413761;413750;409287;4326;148;0;0,86;0,04;1,98;0,02;1,58;340859;8,8;1597;0,04;0;0;161059;4,16;833;0,02;"SRR11711951";"C.canephora";"25_20_C";"Icatu";"PRJNA630692";"C.canephora_PRJNA630692"
"205";2386902;50;1827063;76,55;49,41;219512;219509;215396;3418;147;551;0,82;0,03;1,84;0,02;1,57;468514;19,63;1404;0,06;0;0;89222;3,74;699;0,03;"SRR11711678";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"206";3906279;50;2991661;76,59;49,42;359860;359855;353659;5085;248;868;0,81;0,03;1,83;0,02;1,59;767866;19,66;2181;0,06;0;0;143578;3,68;993;0,03;"SRR11711679";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"207";3906448;50;2992477;76,6;49,42;361286;361282;354406;5765;243;872;0,81;0,03;1,83;0,02;1,58;766651;19,63;2306;0,06;0;0;144021;3,69;993;0,03;"SRR11711680";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"208";3898572;50;2984184;76,55;49,42;359038;359034;352181;5767;227;863;0,81;0,03;1,83;0,02;1,58;766084;19,65;2307;0,06;0;0;144797;3,71;1200;0,03;"SRR11711681";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"209";3892984;50;2980104;76,55;49,42;357963;357961;351100;5802;231;830;0,82;0,03;1,84;0,02;1,58;764435;19,64;2275;0,06;0;0;145070;3,73;1100;0,03;"SRR11711682";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"210";3910726;50;2994289;76,57;49,42;361385;361377;354431;5804;258;892;0,81;0,03;1,82;0,02;1,59;768090;19,64;2266;0,06;0;0;145056;3,71;1025;0,03;"SRR11711683";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"211";3831839;50;1634085;42,64;49,51;197738;197737;194074;2777;215;672;0,74;0,02;1,81;0,02;1,58;2128155;55,54;1071;0,03;0;0;67867;1,77;661;0,02;"SRR11711684";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"212";3912464;50;2995187;76,56;49,42;361004;361003;354043;5857;250;854;0,81;0,03;1,83;0,02;1,6;769521;19,67;2237;0,06;0;0;144231;3,69;1288;0,03;"SRR11711685";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"213";28013;50;21579;77,03;49,4;2602;2602;2546;42;2;12;0,85;0,02;1,74;0,02;1,59;5343;19,07;9;0,03;0;0;1075;3,84;7;0,02;"SRR11711686";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"214";3879317;50;2975264;76,7;49,42;357512;357506;350490;5839;255;928;0,81;0,03;1,85;0,02;1,58;757166;19,52;1924;0,05;0;0;143926;3,71;1037;0,03;"SRR11711687";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"215";3901918;50;2991248;76,66;49,43;359299;359298;352394;5660;261;984;0,8;0,03;1,84;0,02;1,59;764130;19,58;1849;0,05;0;0;143501;3,68;1190;0,03;"SRR11711688";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"216";3893662;50;2985499;76,68;49,43;359270;359264;352357;5764;241;908;0,81;0,03;1,86;0,02;1,59;761192;19,55;1862;0,05;0;0;144109;3,7;1000;0,03;"SRR11711689";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"217";3885754;50;2978039;76,64;49,42;357883;357879;350940;5837;228;878;0,82;0,03;1,85;0,02;1,59;759619;19,55;1951;0,05;0;0;145307;3,74;838;0,02;"SRR11711690";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"218";3886130;50;2979636;76,67;49,42;358223;358219;351141;5838;265;979;0,82;0,03;1,85;0,02;1,57;758290;19,51;1951;0,05;0;0;145241;3,74;1012;0,03;"SRR11711691";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"219";3903641;50;2992456;76,66;49,43;360184;360177;353135;5855;250;944;0,81;0,03;1,86;0,02;1,58;763520;19,56;2040;0,05;0;0;144557;3,7;1068;0,03;"SRR11711692";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"220";3906045;50;2995711;76,69;49,43;360171;360165;353227;5792;250;902;0,8;0,03;1,86;0,02;1,58;763481;19,55;1990;0,05;0;0;144045;3,69;818;0,02;"SRR11711693";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"221";3827895;50;1633252;42,67;49,5;197393;197391;193605;2866;193;729;0,74;0,02;1,79;0,02;1,57;2125426;55,52;1073;0,03;0;0;67499;1,76;645;0,02;"SRR11711695";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"222";3827361;50;1636707;42,76;49,5;197513;197511;193769;2842;197;705;0,74;0,02;1,83;0,02;1,57;2120828;55,41;1654;0,04;0;0;67443;1,76;729;0,02;"SRR11711706";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"223";3836664;50;1641096;42,77;49,51;198778;198775;195019;2843;171;745;0,73;0,02;1,8;0,02;1,58;2126478;55,43;1031;0,03;0;0;67145;1,75;914;0,02;"SRR11711717";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"224";573985;49;399273;69,56;49,47;51626;51623;50695;722;38;171;0,79;0,02;1,79;0,02;1,58;158850;27,67;261;0,05;0;0;15491;2,7;110;0,02;"SRR11711728";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"225";3883936;49;2702489;69,58;49,48;348527;348508;342197;4918;328;1084;0,76;0,02;1,79;0,02;1,57;1077230;27,74;1878;0,05;0;0;101561;2,61;778;0,02;"SRR11711739";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"226";3866558;49;2691910;69,62;49,47;348970;348965;342417;5083;318;1152;0,78;0,02;1,8;0,02;1,58;1069399;27,66;1872;0,05;0;0;102245;2,64;1132;0,03;"SRR11711760";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"227";3876783;49;2697595;69,58;49,47;347799;347791;341751;4620;292;1136;0,77;0,02;1,8;0,02;1,57;1074046;27,7;1940;0,05;0;0;101909;2,63;1293;0,03;"SRR11711771";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"228";668013;49;526730;78,85;49,45;67152;67152;65954;930;57;211;0,8;0,03;1,8;0,03;1,57;119403;17,87;327;0,05;0;0;21422;3,21;131;0,02;"SRR11711782";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"229";3883540;49;3062339;78,85;49,46;390873;390867;383443;5698;326;1406;0,78;0,03;1,82;0,03;1,59;697266;17,95;1889;0,05;0;0;120714;3,11;1332;0,03;"SRR11711793";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"230";3860218;49;3041048;78,78;49,46;387225;387217;379924;5500;354;1447;0,79;0,03;1,8;0,02;1,58;694187;17,98;2020;0,05;0;0;121842;3,16;1121;0,03;"SRR11711804";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
