"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
23	38.2327	38.8025	38.8359	38.6754	38.3515	38.7259	38.2058	38.8097	37.6361	38.4445	38.7795	38.7217	38.4741	38.3564	38.6869	38.802	38.0582	38.1165	38.2612	37.5129	38.6465	38.3335	38.4791	37.4811	38.6483	38.306	38.1226	38.4804	38.6307	38.516	38.1197	38.1258	38.286	38.5447	37.5167	38.5171	38.3565	38.3325	38.7684	38.3165	38.2656	38.5205	37.9589	38.2188	38.6701	38.094	38.5293	38.2913	38.681	38.2241	38.4035	38.5238	37.8835	38.2203	38.6231	38.1938	38.2394	38.1417	38.7389	38.7791	38.2681	38.1741	38.6165	38.2742	38.6498	38.7386	38.3561	38.3988	38.3501	38.2186	38.2861	38.4374
24	38.1778	38.7692	38.8378	38.6311	38.3262	38.7094	38.1478	38.7751	37.5273	38.3977	38.761	38.7076	38.4372	38.3283	38.6564	38.7775	37.9995	38.035	38.1836	37.3572	38.6402	38.2691	38.4201	37.311	38.6553	38.2836	38.103	38.4607	38.6125	38.5017	38.0869	38.0485	38.2476	38.49	37.3353	38.5346	38.3451	38.3124	38.743	38.3064	38.2284	38.5034	37.8646	38.1745	38.6195	38.0747	38.502	38.2555	38.6621	38.2204	38.3675	38.4922	37.7914	38.1791	38.5695	38.1613	38.1987	38.0826	38.7048	38.7803	38.2396	38.1395	38.5668	38.2457	38.6279	38.7042	38.3348	38.3875	38.3021	38.1826	38.2315	38.3771
25	38.1839	38.7243	38.7778	38.5905	38.2947	38.6437	38.0724	38.7512	37.4005	38.3941	38.7024	38.6484	38.3985	38.2749	38.6111	38.7524	37.9375	37.9509	38.1213	37.4344	38.6099	38.1865	38.3805	37.4103	38.6213	38.2694	38.0916	38.4466	38.5674	38.4548	38.025	38.0221	38.1674	38.4431	37.4319	38.5004	38.3036	38.302	38.7093	38.2558	38.1613	38.4481	37.8317	38.1119	38.5714	38.0688	38.5035	38.1979	38.6223	38.1636	38.3017	38.4291	37.7764	38.1043	38.5181	38.1387	38.1637	38.0871	38.6593	38.7149	38.1794	38.0991	38.5258	38.2093	38.5663	38.6766	38.3141	38.3403	38.2449	38.1409	38.1565	38.3482
26	38.089	38.64	38.7351	38.5697	38.1556	38.5823	37.9527	38.6652	37.4638	38.2976	38.6282	38.612	38.3682	38.1392	38.557	38.6542	37.8218	37.8681	38.0421	37.4108	38.5299	38.1097	38.3073	37.3637	38.5446	38.1804	38.0212	38.3761	38.4837	38.3503	37.8853	37.9746	38.0884	38.3634	37.391	38.4224	38.1837	38.2254	38.62	38.1381	38.0476	38.3228	37.7827	38.0553	38.4857	37.9979	38.4206	38.0805	38.545	38.046	38.1963	38.2971	37.7329	38.0371	38.4346	38.0585	38.0706	37.9915	38.569	38.6725	38.0521	38.0067	38.5027	38.0718	38.5042	38.5861	38.2178	38.2242	38.1282	38.0441	38.0796	38.2692
27	38.0291	38.6326	38.6914	38.5175	38.1297	38.5618	37.9155	38.6012	37.4884	38.2483	38.6191	38.5555	38.3022	38.1367	38.5236	38.5919	37.7794	37.7965	37.9666	37.3061	38.5072	38.0564	38.2371	37.2732	38.5244	38.1698	37.9898	38.3698	38.4297	38.321	37.8523	37.9169	38.0541	38.2958	37.3022	38.4064	38.1441	38.2168	38.5643	38.112	38.0185	38.2779	37.7337	38.0079	38.4195	37.9593	38.4098	38.0437	38.5174	38.0012	38.1818	38.248	37.673	38.0026	38.3647	38.0227	38.053	37.9321	38.5614	38.6279	37.9828	37.9754	38.4506	38.0432	38.4824	38.5236	38.2038	38.1776	38.0861	38.0086	38.0301	38.2068
28	38.0015	38.5532	38.6462	38.4852	38.083	38.4863	37.8588	38.5794	37.4755	38.2003	38.5504	38.5181	38.2744	38.0734	38.4552	38.5664	37.7238	37.7403	37.8772	37.4619	38.4584	38.0108	38.1594	37.4516	38.4696	38.0987	37.9869	38.3021	38.377	38.2845	37.7949	37.8798	38.0007	38.2246	37.4955	38.3553	38.1032	38.1452	38.4845	38.1052	37.9712	38.2161	37.7169	37.9326	38.3504	37.9614	38.3646	37.9908	38.4394	37.9606	38.1402	38.1782	37.6512	37.937	38.2988	38.0081	37.9606	37.9016	38.4821	38.5817	37.9335	37.9277	38.4167	37.9923	38.4048	38.5026	38.1309	38.1351	38.0345	37.96	37.989	38.1328
29	37.9492	38.5045	38.6209	38.4295	38.0573	38.4124	37.8153	38.5437	37.4391	38.1528	38.5076	38.4859	38.2097	38.0467	38.3851	38.5195	37.653	37.6689	37.817	37.357	38.3837	37.9265	38.1027	37.3293	38.3939	38.0606	37.9155	38.2481	38.3428	38.2442	37.7624	37.7945	37.9257	38.1664	37.3722	38.2875	38.0801	38.1036	38.4576	38.0795	37.931	38.1701	37.627	37.849	38.3024	37.8913	38.3005	37.9386	38.4033	37.9541	38.0812	38.1369	37.5679	37.8545	38.2473	37.9353	37.9337	37.8457	38.4328	38.5565	37.9247	37.8425	38.3613	37.9696	38.3263	38.4652	38.0962	38.112	37.9852	37.8799	37.9016	38.0713
30	37.8904	38.4529	38.572	38.4065	37.99	38.386	37.752	38.5154	37.2253	38.1009	38.4484	38.4328	38.1874	37.9884	38.3691	38.487	37.6065	37.6378	37.7687	37.3338	38.3308	37.8969	38.0493	37.2955	38.3419	37.9945	37.8648	38.192	38.2675	38.1683	37.7015	37.7441	37.8881	38.1104	37.3284	38.2392	37.9897	38.0412	38.3745	38.003	37.8571	38.1053	37.6025	37.8059	38.2519	37.8372	38.2633	37.8735	38.323	37.8666	38.0254	38.0795	37.5266	37.8154	38.1949	37.8881	37.8757	37.7857	38.3794	38.5006	37.8181	37.7974	38.3374	37.9077	38.2973	38.4383	38.0297	38.0223	37.9239	37.8293	37.8663	38.0133
31	37.8704	38.4343	38.5307	38.3626	37.9281	38.3175	37.6912	38.4707	37.2598	38.0748	38.4376	38.3945	38.1289	37.9207	38.2959	38.4481	37.544	37.5453	37.6469	37.2264	38.2608	37.8187	37.935	37.1803	38.2806	37.9497	37.7899	38.1212	38.2277	38.135	37.6463	37.6846	37.7983	38.0082	37.2126	38.1735	37.954	37.9717	38.3463	37.9736	37.7964	38.0506	37.5498	37.6927	38.1522	37.7596	38.1887	37.8167	38.2871	37.8278	37.9679	38.028	37.462	37.7126	38.0967	37.814	37.8111	37.7639	38.3582	38.4623	37.783	37.7423	38.2903	37.8377	38.2333	38.3924	37.9867	37.9824	37.8629	37.7761	37.7917	37.9054
32	37.9558	38.5285	38.5876	38.4122	38.0775	38.443	37.7796	38.5425	37.006	38.1431	38.5502	38.4337	38.2033	38.0735	38.4115	38.5254	37.6467	37.627	37.7552	37.4662	38.3857	37.9397	38.0768	37.4308	38.4113	38.0758	37.9585	38.2606	38.335	38.2382	37.7957	37.8356	37.9546	38.1532	37.4745	38.3073	38.0625	38.1191	38.4393	38.0785	37.9413	38.1868	37.7132	37.8556	38.2944	37.9348	38.3251	37.9554	38.3866	37.9308	38.1132	38.1567	37.6197	37.8738	38.2347	37.9301	37.8924	37.8441	38.4546	38.5202	37.8406	37.9105	38.3422	37.9939	38.3617	38.4662	38.0972	38.0827	37.9884	37.9268	37.9222	38.0594
33	37.9143	38.5292	38.5947	38.4168	38.107	38.4384	37.7373	38.5363	37.1425	38.1356	38.5275	38.4399	38.2301	38.0878	38.4145	38.5129	37.6438	37.6001	37.7375	37.4368	38.3681	37.9328	38.0871	37.4372	38.3983	38.0991	37.9265	38.2882	38.3427	38.2605	37.8005	37.8534	37.9303	38.1775	37.4694	38.2854	38.099	38.1473	38.4408	38.1192	37.9218	38.2315	37.7088	37.8251	38.3283	37.8952	38.3551	37.9583	38.3861	37.9797	38.079	38.1913	37.6399	37.8533	38.2532	37.8884	37.8916	37.8068	38.4567	38.5281	37.854	37.9247	38.3526	38.0195	38.3526	38.4581	38.1121	38.108	37.9801	37.9332	37.9202	38.081
34	37.9841	38.5097	38.5781	38.4259	38.0734	38.4063	37.7202	38.5045	37.3064	38.1675	38.5233	38.4263	38.2269	38.0598	38.377	38.4831	37.5863	37.5005	37.7053	37.3233	38.3711	37.8716	38.0809	37.336	38.4105	38.0775	37.9233	38.2665	38.3242	38.2476	37.8112	37.8407	37.8937	38.1679	37.3744	38.3046	38.0848	38.1204	38.4261	38.1052	37.9582	38.2102	37.6527	37.8441	38.2971	37.8905	38.34	37.9816	38.3539	37.965	38.1201	38.1521	37.6258	37.8228	38.2319	37.8591	37.8284	37.8721	38.4354	38.5121	37.7895	37.903	38.3611	37.9847	38.3238	38.424	38.0777	38.0852	37.9953	37.9053	37.879	38.0854
35	37.9025	38.4508	38.5547	38.3484	38.0459	38.3843	37.6804	38.4547	36.7694	38.0872	38.4648	38.4039	38.1497	38.0278	38.3603	38.4327	37.4924	37.4754	37.6646	37.2378	38.3233	37.8581	38.0492	37.272	38.3596	38.0446	37.8689	38.2479	38.2478	38.2561	37.7472	37.7868	37.8744	38.1478	37.3116	38.2568	38.0527	38.1094	38.3378	38.1205	37.9169	38.1431	37.6131	37.8117	38.283	37.8417	38.3015	37.929	38.3204	37.9306	38.0795	38.088	37.5529	37.7976	38.2199	37.7984	37.7853	37.7984	38.3747	38.4854	37.7405	37.8324	38.2881	37.9613	38.2986	38.3759	38.0479	38.0487	37.9415	37.8282	37.8621	38.0546
