"Read Position"	"SRR11711678"	"SRR11711679"	"SRR11711680"	"SRR11711681"	"SRR11711682"	"SRR11711683"	"SRR11711684"	"SRR11711685"	"SRR11711686"	"SRR11711687"	"SRR11711688"	"SRR11711689"	"SRR11711690"	"SRR11711691"	"SRR11711692"	"SRR11711693"	"SRR11711695"	"SRR11711706"	"SRR11711717"	"SRR11711728"	"SRR11711739"	"SRR11711760"	"SRR11711771"	"SRR11711782"	"SRR11711793"	"SRR11711804"	"SRR11711805"	"SRR11711806"	"SRR11711807"	"SRR11711808"	"SRR11711809"	"SRR11711810"	"SRR11711811"	"SRR11711812"	"SRR11711813"	"SRR11711814"	"SRR11711815"	"SRR11711816"	"SRR11711817"	"SRR11711818"	"SRR11711819"	"SRR11711820"	"SRR11711821"	"SRR11711822"	"SRR11711823"	"SRR11711824"	"SRR11711825"	"SRR11711826"	"SRR11711827"	"SRR11711828"	"SRR11711833"	"SRR11711844"	"SRR11711855"	"SRR11711866"	"SRR11711877"	"SRR11711888"	"SRR11711899"	"SRR11711907"	"SRR11711908"	"SRR11711909"	"SRR11711910"	"SRR11711911"	"SRR11711912"	"SRR11711913"	"SRR11711914"	"SRR11711915"	"SRR11711916"	"SRR11711927"	"SRR11711938"	"SRR11711949"	"SRR11711950"	"SRR11711951"
11	46.824	46.8491	46.8767	46.834900000000005	46.865	46.8816	53.274100000000004	46.8857	46.1531	46.9344	46.9719	46.9318	46.9651	46.914	46.9771	46.974700000000006	53.299	53.310599999999994	53.3019	49.122	49.1824	49.107299999999995	49.155	47.5037	47.5419	47.5625	47.119	47.1003	47.0971	47.0897	47.1152	47.0537	47.1179	47.0679	47.2913	47.2641	47.5266	47.2599	47.287400000000005	47.2423	47.2815	47.3107	47.2442	47.301700000000004	47.2489	46.8648	46.8496	47.586099999999995	46.8613	46.9047	46.819300000000005	46.881	46.8829	46.8441	46.8657	53.3051	53.2836	46.3449	46.415099999999995	46.3741	53.2833	47.564	46.3571	46.3514	46.445	46.4242	49.1083	49.115199999999994	49.1241	49.1242	47.5286	47.591
12	46.7599	46.7718	46.7759	46.766600000000004	46.8047	46.8047	52.53640000000001	46.8171	46.3985	46.7982	46.8199	46.8222	46.841699999999996	46.8267	46.8104	46.835300000000004	52.525999999999996	52.53210000000001	52.5005	48.7847	48.7967	48.722100000000005	48.743700000000004	47.316	47.3423	47.3147	46.9435	46.919	46.8988	46.933	46.8741	46.8924	46.8967	46.8906	46.905	46.955200000000005	47.3117	46.963100000000004	47.003699999999995	46.909800000000004	46.9676	46.983200000000004	46.990700000000004	47.0046	46.9672	46.7063	46.7186	47.3469	46.7284	46.7363	46.711999999999996	46.671099999999996	46.7104	46.7267	46.712399999999995	52.574799999999996	52.5404	46.3083	46.3043	46.326699999999995	52.4904	47.385	46.3361	46.3501	46.352199999999996	46.382200000000005	48.7217	48.754599999999996	48.7562	48.754599999999996	47.3571	47.3706
13	43.297000000000004	43.3524	43.3472	43.3272	43.332	43.3484	48.0102	43.372699999999995	43.4362	43.2598	43.2647	43.2649	43.2504	43.2519	43.2664	43.3037	48.0133	48.0284	48.0109	44.5604	44.68	44.709700000000005	44.7415	43.452	43.4542	43.3986	43.319	43.2969	43.3652	43.3212	43.3556	43.4	43.3104	43.3472	43.4369	43.447	43.4312	43.3545	43.4749	43.3742	43.4613	43.4333	43.406299999999995	43.4505	43.509100000000004	43.2423	43.2465	43.4289	43.213499999999996	43.181799999999996	43.2344	43.3154	43.2192	43.2475	43.2581	48.0265	47.967999999999996	42.9551	43.0837	43.0034	48.022	43.4279	43.0222	43.0373	43.0417	43.0219	44.6673	44.698	44.752900000000004	44.6807	43.465399999999995	43.4013
14	43.6737	43.723099999999995	43.7592	43.7388	43.7443	43.8094	48.2308	43.8099	43.811099999999996	43.74	43.769000000000005	43.804700000000004	43.749700000000004	43.6728	43.8005	43.7549	48.2575	48.235099999999996	48.268499999999996	45.016600000000004	45.1689	45.1092	45.0832	43.7252	43.9225	43.8228	43.6836	43.7629	43.730599999999995	43.7144	43.7005	43.709900000000005	43.7483	43.7293	43.4574	43.5498	43.8674	43.5292	43.5993	43.5493	43.5709	43.59	43.5336	43.547000000000004	43.5557	43.7737	43.7458	43.8627	43.805699999999995	43.7021	43.7522	43.770199999999996	43.728	43.752	43.7653	48.192299999999996	48.2654	43.697599999999994	43.6862	43.6921	48.2551	43.9208	43.6956	43.6764	43.6742	43.7165	45.129999999999995	45.0867	45.1273	45.075900000000004	43.9334	43.8614
15	44.3746	44.410500000000006	44.4155	44.3975	44.413799999999995	44.4445	48.7363	44.4542	44.711099999999995	44.4037	44.521	44.500499999999995	44.473800000000004	44.512299999999996	44.5234	44.5375	48.7638	48.6931	48.7198	45.4501	45.4701	45.4371	45.481899999999996	44.1584	44.2042	44.1738	43.981300000000005	43.9862	44.0354	43.9788	44.0002	44.019200000000005	44.020199999999996	44.0214	44.032	44.112	44.175399999999996	44.0873	44.1373	44.087700000000005	44.128299999999996	44.1766	44.149699999999996	44.1306	44.150099999999995	44.0987	44.0901	44.1807	44.1092	44.122	44.1222	44.1513	44.0873	44.1044	44.112	48.7298	48.7153	44.2333	44.3129	44.378299999999996	48.7189	44.1884	44.311099999999996	44.324400000000004	44.3485	44.294	45.4511	45.455400000000004	45.4315	45.501599999999996	44.2012	44.2106
16	44.6541	44.7418	44.737300000000005	44.6779	44.6874	44.751400000000004	49.7179	44.7245	44.3088	44.5587	44.676500000000004	44.619	44.6253	44.616299999999995	44.6356	44.649699999999996	49.775999999999996	49.723600000000005	49.7863	46.0246	46.0348	46.0543	46.029399999999995	44.6385	44.690000000000005	44.650099999999995	44.624399999999994	44.603	44.6503	44.6584	44.6325	44.6442	44.5952	44.6219	44.493300000000005	44.4994	44.6434	44.485200000000006	44.5031	44.4626	44.4987	44.5168	44.4705	44.4593	44.4595	44.7254	44.7556	44.657799999999995	44.7627	44.7026	44.785599999999995	44.776700000000005	44.7359	44.8018	44.758700000000005	49.7518	49.7339	44.5923	44.6896	44.7184	49.6987	44.6918	44.7597	44.6688	44.7061	44.7223	46.0152	46.0238	46.022200000000005	46.0484	44.679	44.6674
17	44.2286	44.2281	44.2664	44.291799999999995	44.278800000000004	44.2682	48.9118	44.2812	43.9475	44.1005	44.1072	44.1252	44.122699999999995	44.1237	44.168099999999995	44.1191	48.9298	48.9422	48.9055	45.5394	45.5751	45.514700000000005	45.5394	44.2357	44.195299999999996	44.1989	44.2273	44.2329	44.2617	44.2339	44.2177	44.242399999999996	44.284400000000005	44.2855	44.194	44.0791	44.1455	44.1333	44.0862	44.0573	44.126	44.182700000000004	44.1385	44.122499999999995	44.1417	44.411899999999996	44.4015	44.154900000000005	44.424	44.3811	44.43	44.3971	44.3735	44.4173	44.4015	48.9245	48.9362	44.2573	44.2635	44.2804	48.8822	44.1509	44.236399999999996	44.2483	44.2834	44.250499999999995	45.5869	45.5649	45.557700000000004	45.553	44.1725	44.2086
18	44.466499999999996	44.5592	44.556000000000004	44.5293	44.5095	44.5328	48.498599999999996	44.5583	44.520199999999996	44.5102	44.5452	44.509100000000004	44.5816	44.4867	44.5851	44.5297	48.4744	48.5378	48.533500000000004	45.3155	45.2899	45.2708	45.2895	44.0333	44.0298	43.9863	44.0623	44.080000000000005	44.121500000000005	44.0964	44.1159	44.135000000000005	44.101600000000005	44.1433	44.1659	44.1751	43.9971	44.2148	44.241200000000006	44.2252	44.1793	44.2531	44.1476	44.2553	44.2699	44.204	44.2051	43.973800000000004	44.257400000000004	44.244299999999996	44.211800000000004	44.2494	44.2245	44.2086	44.2455	48.5034	48.5341	44.377100000000006	44.4524	44.4383	48.5054	44.056200000000004	44.445299999999996	44.4454	44.4241	44.4502	45.245400000000004	45.2453	45.270500000000006	45.279599999999995	44.0112	44.041599999999995
19	44.3347	44.3714	44.3988	44.373200000000004	44.3135	44.3671	48.1934	44.364	44.4759	44.2046	44.184	44.2468	44.2284	44.2344	44.2358	44.2825	48.1567	48.1463	48.1946	45.195	45.368700000000004	45.3482	45.3446	44.2091	44.2868	44.1982	44.1832	44.1637	44.1649	44.1715	44.113	44.1751	44.1248	44.1293	43.9861	44.060100000000006	44.2328	43.980599999999995	44.0368	44.035000000000004	43.978899999999996	44.018499999999996	43.9814	44.0152	44.0619	44.1834	44.1768	44.264199999999995	44.185900000000004	44.2095	44.210300000000004	44.2319	44.2499	44.1839	44.2046	48.2033	48.1906	44.3422	44.317499999999995	44.3499	48.135	44.2423	44.2998	44.2849	44.3251	44.3709	45.3207	45.3483	45.323600000000006	45.3501	44.2037	44.2381
20	44.2025	44.2104	44.1993	44.24	44.182500000000005	44.217099999999995	48.0447	44.246	43.9816	44.0647	44.107600000000005	44.1676	44.1194	44.101099999999995	44.1532	44.1476	48.037800000000004	48.040699999999994	48.0951	44.9257	44.951299999999996	44.95	44.923	43.594899999999996	43.6413	43.6323	43.5591	43.5669	43.5987	43.5608	43.549	43.5648	43.5679	43.5674	43.5691	43.655	43.6704	43.6032	43.627700000000004	43.6475	43.6514	43.641200000000005	43.6637	43.6787	43.6579	43.8055	43.7867	43.6442	43.7877	43.7768	43.816100000000006	43.799	43.803799999999995	43.8015	43.8099	48.051300000000005	48.0509	44.1413	44.1704	44.1788	48.079699999999995	43.614999999999995	44.1577	44.1473	44.159	44.230999999999995	44.9014	45.0084	44.986399999999996	45.0046	43.6797	43.6578
21	44.824799999999996	44.8628	44.8541	44.853300000000004	44.8513	44.9161	49.085	44.873200000000004	44.9429	44.8657	44.8577	44.8647	44.8451	44.8633	44.878800000000005	44.898700000000005	49.0434	49.1118	49.1192	45.825500000000005	45.9101	45.8718	45.900600000000004	44.6337	44.682100000000005	44.618	44.4427	44.4717	44.4431	44.4483	44.461099999999995	44.474399999999996	44.4645	44.4443	44.2751	44.3463	44.6002	44.2748	44.355	44.377	44.3654	44.3631	44.3061	44.3157	44.3897	44.563	44.5646	44.6527	44.5715	44.5661	44.5979	44.6037	44.5786	44.5859	44.6324	49.026599999999995	49.044900000000005	44.7934	44.8814	44.776500000000006	49.056	44.640299999999996	44.8437	44.7494	44.8089	44.824000000000005	45.8489	45.8251	45.8564	45.8488	44.6729	44.6383
22	44.3181	44.3241	44.3748	44.3805	44.3966	44.3696	49.5141	44.4045	44.2679	44.313599999999994	44.3483	44.4072	44.2842	44.3074	44.3876	44.3495	49.5627	49.5753	49.5311	45.4114	45.522	45.5103	45.5306	43.9519	43.9959	43.952400000000004	43.947900000000004	43.9623	44.0071	43.9588	43.8837	44.0103	43.981300000000005	44.0083	43.998599999999996	43.9765	43.985800000000005	43.961299999999994	44.054300000000005	43.9233	43.9978	44.0331	44.0162	43.9964	44.0282	44.136900000000004	44.169000000000004	43.9588	44.1331	44.1244	44.1871	44.206	44.148700000000005	44.161899999999996	44.2065	49.5411	49.517	44.2164	44.3636	44.28	49.5084	44.0275	44.2588	44.298700000000004	44.3304	44.333800000000004	45.4846	45.5171	45.5257	45.5264	44.03	43.9958
23	43.8967	43.924800000000005	43.9668	43.9278	43.9489	43.9615	49.168299999999995	43.9354	43.6237	43.8531	43.9078	43.885000000000005	43.891999999999996	43.918	43.9362	43.9388	49.1948	49.1433	49.1657	45.0918	45.1966	45.1817	45.171099999999996	43.6572	43.6601	43.6763	43.425200000000004	43.5115	43.5289	43.4645	43.4962	43.5131	43.5417	43.5356	43.5832	43.6003	43.6694	43.5776	43.5712	43.566700000000004	43.5573	43.6257	43.5782	43.5578	43.6024	43.743500000000004	43.7948	43.689099999999996	43.782900000000005	43.784600000000005	43.7741	43.805699999999995	43.7455	43.8091	43.8159	49.1321	49.2072	43.9041	43.9572	43.919399999999996	49.144	43.6709	43.9351	43.9374	43.9214	43.870599999999996	45.1452	45.14	45.109100000000005	45.123400000000004	43.614399999999996	43.6543
24	44.8299	44.9005	44.893899999999995	44.9043	44.8598	44.8951	49.3549	44.8908	44.4895	44.905699999999996	44.9235	44.9239	44.879400000000004	44.8962	44.9466	44.9927	49.369600000000005	49.4139	49.369	45.9625	45.975100000000005	45.9466	45.962599999999995	44.591300000000004	44.6726	44.6635	44.562200000000004	44.6052	44.615300000000005	44.657000000000004	44.649499999999996	44.6312	44.6366	44.6236	44.3354	44.4749	44.6934	44.413799999999995	44.4894	44.4728	44.4427	44.4492	44.4237	44.4176	44.472899999999996	44.8482	44.8567	44.6917	44.8578	44.8383	44.8954	44.8637	44.8071	44.8157	44.9019	49.3444	49.3627	44.9443	44.940999999999995	44.9341	49.3584	44.6942	44.9475	44.927	44.966	44.9955	45.8701	45.935199999999995	45.949600000000004	45.9508	44.7014	44.689800000000005
25	44.6182	44.650099999999995	44.6654	44.6551	44.654500000000006	44.7022	48.8414	44.6346	44.3191	44.581900000000005	44.6424	44.6826	44.6539	44.6336	44.6336	44.6421	48.7915	48.783500000000004	48.7932	45.3155	45.3964	45.3977	45.4392	44.0216	44.1396	44.0421	44.061699999999995	44.052400000000006	44.0728	44.0258	44.0609	44.0679	44.0657	44.107	44.129200000000004	44.1388	44.131	44.116499999999995	44.1311	44.13	44.155100000000004	44.1683	44.119	44.139	44.1613	44.3278	44.371500000000005	44.1087	44.393899999999995	44.3366	44.392900000000004	44.3976	44.3888	44.3522	44.3833	48.7577	48.7465	44.628099999999996	44.6339	44.6864	48.783300000000004	44.1226	44.6037	44.6407	44.6918	44.685	45.3757	45.3643	45.3485	45.3656	44.1115	44.134
26	44.2102	44.2564	44.1784	44.259100000000004	44.183499999999995	44.2427	49.0458	44.2071	43.3032	44.1507	44.1512	44.1202	44.136199999999995	44.112899999999996	44.1587	44.2009	49.0593	49.0445	49.1055	45.2802	45.4599	45.4394	45.4237	43.906	44.0044	44.0217	44.0295	44.020700000000005	44.0102	44.0157	43.961800000000004	43.9976	44.000099999999996	44.008399999999995	43.7817	43.863600000000005	43.9979	43.8267	43.862	43.7935	43.793	43.8072	43.8131	43.8344	43.845	44.2962	44.2661	44.0344	44.2937	44.2653	44.257000000000005	44.234899999999996	44.226	44.2913	44.2532	49.0257	49.0154	44.2062	44.3099	44.3022	49.0415	44.018	44.2622	44.2288	44.272800000000004	44.2552	45.402300000000004	45.3992	45.441900000000004	45.4423	44.0518	44.03
27	44.6156	44.6457	44.641	44.7007	44.6345	44.6801	49.004999999999995	44.6646	44.2952	44.6939	44.6558	44.6331	44.6822	44.676700000000004	44.6693	44.6862	49.0293	49.0179	48.9992	45.8342	45.8083	45.7812	45.764500000000005	44.633	44.608	44.5565	44.3647	44.3676	44.3772	44.3686	44.3187	44.3601	44.3751	44.3915	44.1603	44.1776	44.6052	44.190400000000004	44.2344	44.208999999999996	44.222699999999996	44.1967	44.1168	44.202999999999996	44.2472	44.495400000000004	44.541	44.608799999999995	44.5592	44.5772	44.5515	44.5259	44.5162	44.5254	44.5163	48.9005	49.0163	44.6668	44.6801	44.7201	48.9921	44.6263	44.704	44.6874	44.7066	44.6997	45.7639	45.773	45.8024	45.818999999999996	44.6315	44.6532
28	44.4891	44.5503	44.5992	44.5899	44.553799999999995	44.5978	48.8634	44.5953	44.3361	44.4896	44.500499999999995	44.5098	44.5297	44.5531	44.5772	44.529	48.8737	48.8736	48.8685	45.4277	45.3648	45.3782	45.3874	44.048700000000004	43.999500000000005	44.0019	44.0107	44.0258	44.0568	43.998599999999996	44.027300000000004	44.020399999999995	44.054	44.0775	44.1395	44.087199999999996	44.041599999999995	44.0993	44.137	44.060500000000005	44.0968	44.0841	44.099	44.0572	44.1253	44.3626	44.353300000000004	44.0392	44.3222	44.3318	44.3748	44.3606	44.3537	44.324799999999996	44.3736	48.830400000000004	48.842600000000004	44.5273	44.5451	44.608399999999996	48.8918	43.9902	44.5617	44.5186	44.5162	44.5524	45.3806	45.3636	45.3808	45.3615	44.0452	44.015
