"Category"	"Passed Filter"	"Low Quality"	"Too Many N"	"Too short"
"SRR11711678"	2386902	79917	356	0
"SRR11711679"	3906279	93410	311	0
"SRR11711680"	3906448	93246	306	0
"SRR11711681"	3898572	100875	553	0
"SRR11711682"	3892984	106842	174	0
"SRR11711683"	3910726	88614	660	0
"SRR11711684"	3831839	167760	401	0
"SRR11711685"	3912464	87204	332	0
"SRR11711686"	28013	1316	6	0
"SRR11711687"	3879317	120178	505	0
"SRR11711688"	3901918	97704	378	0
"SRR11711689"	3893662	106045	293	0
"SRR11711690"	3885754	113801	445	0
"SRR11711691"	3886130	113729	141	0
"SRR11711692"	3903641	95716	643	0
"SRR11711693"	3906045	93601	354	0
"SRR11711695"	3827895	171429	676	0
"SRR11711706"	3827361	172261	378	0
"SRR11711717"	3836664	163049	287	0
"SRR11711728"	573985	27332	122	1812
"SRR11711739"	3883936	103840	311	11913
"SRR11711760"	3866558	121930	328	11184
"SRR11711771"	3876783	111816	317	11084
"SRR11711782"	668013	31755	141	2843
"SRR11711793"	3883540	99981	318	16161
"SRR11711804"	3860218	122751	1183	15848
"SRR11711805"	2953783	113956	255	11758
"SRR11711806"	3859514	124628	864	14994
"SRR11711807"	3869015	115486	1019	14480
"SRR11711808"	3864274	120819	489	14418
"SRR11711809"	3840975	143844	595	14586
"SRR11711810"	3845466	139335	771	14428
"SRR11711811"	3854479	131284	273	13964
"SRR11711812"	3870418	115384	346	13852
"SRR11711813"	853171	45196	178	1391
"SRR11711814"	3872558	121251	170	6021
"SRR11711815"	3862011	121512	770	15707
"SRR11711816"	3851927	140839	1220	6014
"SRR11711817"	3881882	110956	1093	6069
"SRR11711818"	3855832	137648	448	6072
"SRR11711819"	3850192	143541	462	5805
"SRR11711820"	3878338	115077	757	5828
"SRR11711821"	3840423	153064	620	5893
"SRR11711822"	3850239	143717	183	5861
"SRR11711823"	3886716	107281	396	5607
"SRR11711824"	3218118	119382	314	9896
"SRR11711825"	3871042	116276	808	11874
"SRR11711826"	3858881	124810	439	15870
"SRR11711827"	3882411	104846	1082	11661
"SRR11711828"	3850418	137414	706	11462
"SRR11711833"	3863746	124200	311	11743
"SRR11711844"	3880459	107410	698	11433
"SRR11711855"	3839996	147844	725	11435
"SRR11711866"	3856893	131485	190	11432
"SRR11711877"	3885149	103232	366	11253
"SRR11711888"	3625754	154103	257	15872
"SRR11711899"	3828244	170634	1122	0
"SRR11711907"	2311932	87701	364	0
"SRR11711908"	3896818	102852	330	0
"SRR11711909"	3896511	103204	285	0
"SRR11711910"	3828635	170642	723	0
"SRR11711911"	3858297	125115	726	15862
"SRR11711912"	3888240	111285	475	0
"SRR11711913"	3879078	120831	91	0
"SRR11711914"	3894414	99309	576	5701
"SRR11711915"	3901117	98590	293	0
"SRR11711916"	3861403	125696	1258	11643
"SRR11711927"	3862891	125031	791	11287
"SRR11711938"	3863050	125023	450	11477
"SRR11711949"	3863595	124307	727	11371
"SRR11711950"	3863806	120426	347	15421
"SRR11711951"	3872279	111996	276	15449
