"Read Position"	"SRR11196520"	"SRR11196521"	"SRR11196522"	"SRR11196523"	"SRR11196524"	"SRR11196525"	"SRR11196526"	"SRR11196527"	"SRR11196528"	"SRR11196529"	"SRR11196530"	"SRR11196531"	"SRR11196532"	"SRR11196533"	"SRR11196534"	"SRR11196535"	"SRR11196536"	"SRR11196537"	"SRR11196538"	"SRR11196539"
31	37.5139	37.5462	37.5495	37.4607	37.5056	37.5591	37.5432	37.5069	37.5222	37.5198	37.5603	37.5215	37.529	37.5619	37.5762	37.5535	37.5755	37.5041	37.5199	37.5165
32	37.5059	37.537	37.541	37.4538	37.5002	37.5539	37.5384	37.5017	37.5153	37.5115	37.5559	37.5113	37.5228	37.5563	37.5717	37.5505	37.5713	37.4996	37.5156	37.5049
33	37.5024	37.5341	37.5397	37.4493	37.498	37.5508	37.5335	37.4986	37.5112	37.5083	37.5495	37.5107	37.5183	37.5536	37.5674	37.5461	37.5683	37.4961	37.5107	37.5046
34	37.5054	37.5388	37.541	37.4523	37.5027	37.5533	37.5366	37.5011	37.5145	37.5106	37.552	37.5146	37.5201	37.5561	37.5701	37.5492	37.5704	37.4988	37.5131	37.5106
35	37.5012	37.5345	37.5378	37.4518	37.5026	37.551	37.535	37.5007	37.5098	37.5086	37.552	37.5103	37.5177	37.5552	37.5707	37.548	37.5708	37.499	37.5135	37.5086
36	37.4968	37.5314	37.5322	37.4485	37.4983	37.5466	37.5313	37.4982	37.5034	37.5034	37.546	37.5044	37.5099	37.5506	37.5656	37.5416	37.5651	37.495	37.5096	37.5033
37	37.4897	37.5251	37.5285	37.4399	37.4887	37.5428	37.5256	37.4907	37.4977	37.4993	37.5468	37.5013	37.5144	37.5466	37.561	37.5383	37.5636	37.4867	37.5031	37.4996
38	37.4919	37.5259	37.5313	37.4383	37.4902	37.5451	37.5252	37.4899	37.4995	37.4999	37.5491	37.5046	37.5143	37.5489	37.5622	37.5388	37.5643	37.4883	37.5034	37.504
39	37.4884	37.5241	37.5281	37.4365	37.4848	37.5427	37.5227	37.4868	37.4973	37.4998	37.5469	37.4999	37.5148	37.5474	37.5585	37.5361	37.5618	37.4848	37.5015	37.4975
40	37.4854	37.5191	37.5217	37.4343	37.4827	37.5381	37.5215	37.4833	37.4937	37.4914	37.541	37.4935	37.5047	37.5439	37.5571	37.5322	37.5567	37.4828	37.5	37.4949
41	37.4768	37.5116	37.5126	37.4231	37.4725	37.5282	37.5124	37.4741	37.4834	37.4825	37.5305	37.4861	37.4973	37.534	37.5471	37.5235	37.5481	37.4718	37.4887	37.4859
42	37.4638	37.4995	37.5015	37.4105	37.4598	37.518	37.5013	37.4628	37.4727	37.4704	37.5236	37.4694	37.4871	37.5255	37.5381	37.5143	37.5375	37.4593	37.4792	37.4709
43	37.4423	37.48	37.4845	37.3884	37.4401	37.5027	37.4837	37.4413	37.4525	37.4523	37.5075	37.4507	37.4688	37.5089	37.5207	37.4946	37.5232	37.4384	37.4614	37.4515
44	37.4455	37.4825	37.4849	37.3908	37.4417	37.5036	37.4843	37.4442	37.452	37.4522	37.5067	37.4498	37.4665	37.5102	37.525	37.4967	37.5248	37.4404	37.4631	37.4524
45	37.4449	37.4824	37.4845	37.3918	37.4437	37.5038	37.4834	37.4453	37.4516	37.4482	37.5057	37.4519	37.4629	37.5103	37.5244	37.4967	37.5226	37.4415	37.4647	37.4544
46	37.4366	37.4751	37.4752	37.3826	37.4364	37.4963	37.4759	37.4371	37.4453	37.4412	37.4983	37.4456	37.4544	37.5036	37.5178	37.49	37.5168	37.435	37.4556	37.4488
47	37.433	37.4717	37.4721	37.3795	37.4321	37.4935	37.4735	37.4344	37.4423	37.4379	37.4986	37.4409	37.4548	37.5015	37.5147	37.4889	37.5162	37.4318	37.4543	37.4425
48	37.4313	37.4713	37.4704	37.3757	37.4302	37.4917	37.4724	37.4323	37.4409	37.438	37.496	37.4394	37.4542	37.4992	37.5153	37.4867	37.5137	37.43	37.4517	37.4421
49	37.4096	37.4487	37.4527	37.3526	37.4088	37.4736	37.452	37.4107	37.4181	37.4179	37.4764	37.4181	37.4326	37.4797	37.4926	37.4669	37.4947	37.4067	37.4306	37.4234
50	37.4058	37.4468	37.4521	37.349	37.4027	37.474	37.4514	37.4048	37.4159	37.4164	37.4783	37.416	37.4322	37.4814	37.4925	37.4672	37.4975	37.4031	37.4271	37.4204
